Label,VoxelCount,Volume,SurfaceArea,MeanBreadth,Sphericity,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z
8672,303,303,298.798,12.467,0.389,1987,2006,768,776,55,61,1995.746,770.822,57.914
8673,183,183,212.682,9.823,0.394,1574,1587,768,777,55,61,1579.923,771.683,57.956
8674,405,405,523.295,17.384,0.129,1578,1595,772,795,55,61,1585.802,781.541,57.553
8675,763,763,641.351,19.992,0.250,1781,1800,776,798,56,61,1790.731,785.666,58.367
8676,9249,9249,5221.848,57.939,0.068,1420,1501,775,828,52,61,1461.566,797.099,58.345
8677,3888,3888,2403.260,36.631,0.123,1560,1617,792,820,53,61,1586.754,807.097,58.207
8678,2219,2219,1379.873,29.653,0.212,1422,1467,799,829,54,61,1444.272,815.300,58.204
8679,3690,3690,2528.957,40.398,0.095,564,615,798,845,52,61,592.676,817.125,58.443
8680,2803,2803,1781.677,29.370,0.157,752,785,799,837,54,61,767.325,817.684,58.314
8681,97,97,145.840,9.142,0.343,1846,1851,817,831,56,60,1848.186,823.866,57.299
8682,49,49,104.555,8.372,0.238,1706,1720,817,825,58,60,1712.694,820.694,58.020
8683,865,865,752.491,18.589,0.199,1073,1094,818,845,55,61,1084.339,832.223,58.831
8684,173,173,207.932,9.842,0.377,770,779,829,843,56,61,773.266,834.775,58.087
8685,880,880,666.499,16.324,0.296,1317,1338,820,843,55,61,1325.188,832.760,58.552
8686,3037,3037,1778.130,33.441,0.186,1739,1776,814,854,51,61,1755.864,832.581,57.409
8687,179,179,212.637,9.441,0.377,764,771,830,843,54,61,766.860,836.168,58.268
8688,1184,1184,832.337,19.898,0.275,589,613,833,857,56,61,598.920,845.089,58.441
8689,540,540,531.293,17.686,0.220,680,693,841,869,55,61,686.406,854.965,58.663
8690,1012,1012,670.604,17.276,0.384,899,923,843,859,55,61,909.501,851.154,58.150
8691,480,480,424.313,12.904,0.341,963,980,848,866,56,61,971.871,857.383,58.869
8692,716,716,553.897,17.763,0.341,1689,1715,860,876,52,61,1704.434,866.761,56.534
8693,1278,1278,928.045,21.269,0.231,576,603,860,886,55,61,588.135,870.176,58.625
8694,7437,7437,4401.434,59.402,0.073,767,835,844,904,52,61,795.214,871.315,58.114
8695,601,601,510.487,14.294,0.307,1070,1086,862,883,56,61,1077.970,873.353,58.867
8696,3546,3546,1971.179,35.275,0.186,544,581,871,907,54,61,558.509,888.376,58.033
8697,2684,2684,1866.582,34.125,0.125,1512,1536,900,954,54,61,1524.931,921.688,58.577
8698,124,124,162.499,8.227,0.405,1441,1450,916,924,55,61,1444.040,919.976,57.565
8699,2586,2586,1828.258,28.580,0.124,684,726,917,948,53,61,705.373,933.196,58.500
